categories,city,id,name,price,rating,review_count
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'salad', u'title': u'Salad'}, {u'alias': u'pastashops', u'title': u'Pasta Shops'}]",Washington,roses-luxury-washington,Rose's Luxury,$$$,4.5,1227
"[{u'alias': u'greek', u'title': u'Greek'}, {u'alias': u'mediterranean', u'title': u'Mediterranean'}]",Washington,komi-washington,Komi,$$$$,4.5,644
"[{u'alias': u'indpak', u'title': u'Indian'}]",Washington,rasika-washington,Rasika,$$$,4.5,2228
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",Washington,minibar-by-josé-andrés-washington-7,minibar by José Andrés,$$$$,4.5,253
"[{u'alias': u'seafood', u'title': u'Seafood'}, {u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",Washington,fiola-mare-washington,Fiola Mare,$$$,4.5,571
"[{u'alias': u'brazilian', u'title': u'Brazilian'}, {u'alias': u'steak', u'title': u'Steakhouses'}, {u'alias': u'seafood', u'title': u'Seafood'}]",Washington,fogo-de-chão-brazilian-steakhouse-washington-5,Fogo de Chão Brazilian Steakhouse,$$$,4.5,1393
"[{u'alias': u'brasseries', u'title': u'Brasseries'}, {u'alias': u'french', u'title': u'French'}, {u'alias': u'cafes', u'title': u'Cafes'}]",Washington,le-diplomate-washington,Le Diplomate,$$$,4,1741
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'newamerican', u'title': u'American (New)'}]",Washington,blue-duck-tavern-washington,Blue Duck Tavern,$$$,4,1576
"[{u'alias': u'greek', u'title': u'Greek'}, {u'alias': u'turkish', u'title': u'Turkish'}, {u'alias': u'lebanese', u'title': u'Lebanese'}]",Washington,zaytinya-washington,Zaytinya,$$$,4,3306
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'belgian', u'title': u'Belgian'}]",Washington,marcels-by-robert-wiedmaier-washington,Marcel's by Robert Wiedmaier,$$$$,4.5,375
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",Washington,corduroy-washington-4,Corduroy,$$$,4.5,481
"[{u'alias': u'seafood', u'title': u'Seafood'}, {u'alias': u'steak', u'title': u'Steakhouses'}]",Washington,joes-seafood-prime-steak-and-stone-crab-washington,"Joe's Seafood, Prime Steak & Stone Crab",$$$,4,558
"[{u'alias': u'japanese', u'title': u'Japanese'}]",Washington,makoto-restaurant-washington,Makoto Restaurant,$$$$,4.5,355
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}]",Washington,1789-restaurant-washington-4,1789 Restaurant,$$$$,4,538
"[{u'alias': u'italian', u'title': u'Italian'}]",Washington,obelisk-washington,Obelisk,$$$$,4,309
"[{u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}, {u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'italian', u'title': u'Italian'}]",Washington,tail-up-goat-washington,Tail Up Goat,$$$,4.5,128
"[{u'alias': u'indpak', u'title': u'Indian'}]",Washington,rasika-west-end-washington,Rasika West End,$$$,4,826
"[{u'alias': u'seafood', u'title': u'Seafood'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",Washington,blacksalt-washington-2,BlackSalt,$$$,4,745
"[{u'alias': u'steak', u'title': u'Steakhouses'}]",Washington,bourbon-steak-washington-3,Bourbon Steak,$$$$,4,530
"[{u'alias': u'italian', u'title': u'Italian'}]",Washington,filomena-ristorante-washington,Filomena Ristorante,$$$,4,1527
categories,city,id,name,price,rating,review_count
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'salad', u'title': u'Salad'}, {u'alias': u'pastashops', u'title': u'Pasta Shops'}]",Washington,roses-luxury-washington,Rose's Luxury,$$$,4.5,1227
"[{u'alias': u'ethiopian', u'title': u'Ethiopian'}, {u'alias': u'cafes', u'title': u'Cafes'}]",Washington,keren-restaurant-washington,Keren Restaurant,$$,4.5,625
"[{u'alias': u'greek', u'title': u'Greek'}, {u'alias': u'mediterranean', u'title': u'Mediterranean'}]",Washington,komi-washington,Komi,$$$$,4.5,644
"[{u'alias': u'bakeries', u'title': u'Bakeries'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}, {u'alias': u'seafood', u'title': u'Seafood'}]",Washington,neopol-savory-smokery-washington,Neopol Savory Smokery,$$,4.5,122
