categories,city,id,name,price,rating,review_count,zip_code
newamerican,Washington,roses-luxury-washington,Rose's Luxury,$$$,4.5,1229,20003
greek,Washington,komi-washington,Komi,$$$$,4.5,644,20036
indpak,Washington,rasika-washington,Rasika,$$$,4.5,2229,20004
newamerican,Washington,minibar-by-josé-andrés-washington-7,minibar by José Andrés,$$$$,4.5,253,20004
seafood,Washington,fiola-mare-washington,Fiola Mare,$$$,4.5,573,20007
brazilian,Washington,fogo-de-chão-brazilian-steakhouse-washington-5,Fogo de Chão Brazilian Steakhouse,$$$,4.5,1394,20004
brasseries,Washington,le-diplomate-washington,Le Diplomate,$$$,4.0,1746,20009
tradamerican,Washington,blue-duck-tavern-washington,Blue Duck Tavern,$$$,4.0,1577,20037
greek,Washington,zaytinya-washington,Zaytinya,$$$,4.0,3312,20001
french,Washington,marcels-by-robert-wiedmaier-washington,Marcel's by Robert Wiedmaier,$$$$,4.5,375,20037
newamerican,Washington,corduroy-washington-4,Corduroy,$$$,4.5,481,20001
seafood,Washington,joes-seafood-prime-steak-and-stone-crab-washington,"Joe's Seafood, Prime Steak & Stone Crab",$$$,4.0,559,20005
japanese,Washington,makoto-restaurant-washington,Makoto Restaurant,$$$$,4.5,355,20007
tradamerican,Washington,1789-restaurant-washington-4,1789 Restaurant,$$$$,4.0,538,20007
italian,Washington,obelisk-washington,Obelisk,$$$$,4.0,310,20036
cocktailbars,Washington,tail-up-goat-washington,Tail Up Goat,$$$,4.5,129,20009
indpak,Washington,rasika-west-end-washington,Rasika West End,$$$,4.0,827,20037
seafood,Washington,blacksalt-washington-2,BlackSalt,$$$,4.0,745,20007
steak,Washington,bourbon-steak-washington-3,Bourbon Steak,$$$$,4.0,532,20007
italian,Washington,filomena-ristorante-washington,Filomena Ristorante,$$$,4.0,1525,20007
categories,city,id,name,price,rating,review_count,zip_code
newamerican,Washington,roses-luxury-washington,Rose's Luxury,$$$,4.5,1229,20003
greek,Washington,komi-washington,Komi,$$$$,4.5,644,20036
newamerican,Washington,barmini-by-josé-andrés-washington-4,Barmini By José Andrés,$$$,4.5,203,20004
indpak,Washington,rasika-washington,Rasika,$$$,4.5,2229,20004
tradamerican,Washington,pennsylvania-6-dc-washington,Pennsylvania 6 DC,$$$,4.5,181,20005
newamerican,Washington,minibar-by-josé-andrés-washington-7,minibar by José Andrés,$$$$,4.5,253,20004
seafood,Washington,fiola-mare-washington,Fiola Mare,$$$,4.5,573,20007
brazilian,Washington,fogo-de-chão-brazilian-steakhouse-washington-5,Fogo de Chão Brazilian Steakhouse,$$$,4.5,1394,20004
breakfast_brunch,Washington,pineapple-and-pearls-washington-3,Pineapple & Pearls,$$$$,4.5,81,20003
brasseries,Washington,le-diplomate-washington,Le Diplomate,$$$,4.0,1746,20009
tradamerican,Washington,blue-duck-tavern-washington,Blue Duck Tavern,$$$,4.0,1577,20037
greek,Washington,zaytinya-washington,Zaytinya,$$$,4.0,3312,20001
french,Washington,marcels-by-robert-wiedmaier-washington,Marcel's by Robert Wiedmaier,$$$$,4.5,375,20037
newamerican,Washington,corduroy-washington-4,Corduroy,$$$,4.5,481,20001
steak,Washington,the-capital-grille-washington-2,The Capital Grille,$$$,4.0,572,20004
thai,Washington,thai-x-ing-washington,Thai X-ing,$$$,4.0,865,20001
seafood,Washington,joes-seafood-prime-steak-and-stone-crab-washington,"Joe's Seafood, Prime Steak & Stone Crab",$$$,4.0,559,20005
japanese,Washington,makoto-restaurant-washington,Makoto Restaurant,$$$$,4.5,355,20007
thai,Washington,little-serow-washington,Little Serow,$$$,4.0,494,20036
tradamerican,Washington,1789-restaurant-washington-4,1789 Restaurant,$$$$,4.0,538,20007
categories,city,id,name,price,rating,review_count,zip_code
greek,Washington,komi-washington,Komi,$$$$,4.5,644,20036
newamerican,Washington,barmini-by-josé-andrés-washington-4,Barmini By José Andrés,$$$,4.5,203,20004
indpak,Washington,rasika-washington,Rasika,$$$,4.5,2230,20004
newamerican,Washington,minibar-by-josé-andrés-washington-7,minibar by José Andrés,$$$$,4.5,253,20004
breakfast_brunch,Washington,pineapple-and-pearls-washington-3,Pineapple & Pearls,$$$$,4.5,81,20003
french,Washington,marcels-by-robert-wiedmaier-washington,Marcel's by Robert Wiedmaier,$$$$,4.5,375,20037
italian,Washington,fiola-washington,Fiola,$$$$,4.0,480,20004
filipino,Washington,bad-saint-washington,Bad Saint,$$,4.5,194,20010
belgian,Washington,brasserie-beck-washington-3,Brasserie Beck,$$$,4.0,1202,20005
tradamerican,Washington,plume-washington,Plume,$$$$,4.0,150,20036
newamerican,Washington,westend-bistro-washington,Westend Bistro,$$$,3.5,258,20037
categories,city,id,name,price,rating,review_count,zip_code
japanese,Washington,makoto-restaurant-washington,Makoto Restaurant,$$$$,4.5,355,20007
japanese,Washington,sushi-capitol-washington-3,Sushi Capitol,$$,4.5,376,20003
sushi,Washington,sushi-taro-washington,Sushi Taro,$$$$,4.0,973,20036
categories,city,id,name,price,rating,review_count,zip_code
newamerican,Washington,kinship-washington,Kinship,$$$$,4.0,106,20001
newamerican,Washington,metier-washington-3,Metier,$$$$,4.5,6,20001
categories,city,id,name,price,rating,review_count,zip_code
newamerican,Washington,roses-luxury-washington,Rose's Luxury,$$$,4.5,1231,20003
mexican,Washington,oyamel-cocina-mexicana-washington-2,Oyamel Cocina Mexicana,$$$,3.5,1925,20004
italian,Washington,masseria-washington-2,Masseria,$$$$,4.0,112,20002
french,Washington,fig-and-olive-washington-2,Fig & Olive,$$$,3.5,340,20001
vietnamese,Washington,doi-moi-washington,Doi Moi,$$,3.5,389,20009
categories,city,id,name,price,rating,review_count,zip_code
newamerican,Washington,central-michel-richard-washington,Central Michel Richard,$$$,4.0,1044,20004
bars,Washington,grand-central-washington,Grand Central,$$,3.0,185,20009
categories,city,id,name,price,rating,review_count,zip_code
tradamerican,Washington,founding-farmers-dc-washington,Founding Farmers DC,$$,4.0,8495,20006
asianfusion,Washington,the-source-washington,The Source,$$$,4.0,591,20565
categories,city,id,name,price,rating,review_count,zip_code
japanese,Washington,makoto-restaurant-washington,Makoto Restaurant,$$$$,4.5,355,20007
filipino,Washington,bad-saint-washington,Bad Saint,$$,4.5,194,20010
ramen,Washington,daikaya-ramen-shop-washington,Daikaya Ramen Shop,$$,4.0,1655,20001
japanese,Washington,izakaya-seki-washington,Izakaya Seki,$$$,4.0,317,20009
asianfusion,Washington,the-source-washington,The Source,$$$,4.0,591,20565
russian,Washington,mari-vanna-washington-2,Mari Vanna,$$$,4.0,338,20036
japanese,McLean,tachibana-japanese-restaurant-mclean,Tachibana Japanese Restaurant,$$,4.0,615,22101
ramen,Washington,daikaya-izakaya-washington-8,Daikaya Izakaya,$$,4.0,349,20001
japanese,Washington,momiji-washington,Momiji,$$,4.0,575,20001
sushi,Washington,nagomi-izakaya-washington-2,Nagomi Izakaya,$$,4.0,151,20036
categories,city,id,name,price,rating,review_count,zip_code
italian,Washington,casa-luca-washington,Casa Luca,$$$,4.0,277,20001
categories,city,id,name,price,rating,review_count,zip_code
southern,Washington,vidalia-washington,Vidalia,$$$,4.0,435,20036
