name,One,Two,Three,Four,Five,Six,Seven,Eight,OneStar,TwoStar,ThreeStar,x,total
Pineapple & Pearls,2,2,2,1.5,,2,,2,,48,42,11.5,113
Komi,3,1,2,1.5,2,1,3,2,,48,33,15.5,112
minibar by José Andrés,2,3,1,1.5,,2,2,3,,48,33,14.5,110
Fiola,1,1,1,1.5,,,2,1,,38,30,7.5,83
Fiola Mare,2,1,1,1.5,2,,3,1,16,40,,11.5,79
Metier,2,2,,,3,1,,2,,34,24,10,78
Kinship,,,2,,,,1,,15,28,,3,49
Little Serow,1,1,,1.5,,1,1,1,25,,,6.5,38
Marcel's by Robert Wiedmaier,2,,,1.5,,,1,1,15,,,5.5,26
The Source,1,,,,,,0.5,,21,,,1.5,24
Sushi Taro,2,1,2,1.5,,2,,1,,,,9.5,19
Bad Saint,1,,,,,,1,,15,,,2,19
Tail Up Goat,,,,,,,,,18,,,0,18
Rasika,1,1,1,1.5,,1,2,1,,,,8.5,17
Rose's Luxury,1,,1,1.5,,1,1,1,,,,6.5,13
Plume,1,1,,,,,1,1,,,,4,8
Masseria,1,1,,,,,1,1,,,,4,8
Rasika West End,1,,,,,,1,1,,,,3,6
Izakaya Seki,1,,,,,,0.5,,,,,1.5,3
Casa Luca,1,,,,,,0.5,,,,,1.5,3
Makoto Restaurant,,,,1,,,,,,,,1,2
Vidalia,,,,,,,,1,,,,1,2
Central Michel Richard,,,,,,,0.5,,,,,0.5,1
Fogo de Chão Brazilian Steakhouse,,,,,,,,,,,,0,0
Le Diplomate,,,,,,,,,,,,0,0
Blue Duck Tavern,,,,,,,,,,,,0,0
Zaytinya,,,,,,,,,,,,0,0
Corduroy,,,,,,,,,,,,0,0
"Joe's Seafood, Prime Steak & Stone Crab",,,,,,,,,,,,0,0
1789 Restaurant,,,,,,,,,,,,0,0
Obelisk,,,,,,,,,,,,0,0
BlackSalt,,,,,,,,,,,,0,0
Bourbon Steak,,,,,,,,,,,,0,0
Filomena Ristorante,,,,,,,,,,,,0,0
Barmini By José Andrés,,,,,,,,,,,,0,0
Pennsylvania 6 DC,,,,,,,,,,,,0,0
The Capital Grille,,,,,,,,,,,,0,0
Thai X-ing,,,,,,,,,,,,0,0
Brasserie Beck,,,,,,,,,,,,0,0
Westend Bistro,,,,,,,,,,,,0,0
Sushi Capitol,,,,,,,,,,,,0,0
Oyamel Cocina Mexicana,,,,,,,,,,,,0,0
Fig & Olive,,,,,,,,,,,,0,0
Doi Moi,,,,,,,,,,,,0,0
Grand Central,,,,,,,,,,,,0,0
Founding Farmers DC,,,,,,,,,,,,0,0
Daikaya Ramen Shop,,,,,,,,,,,,0,0
Mari Vanna,,,,,,,,,,,,0,0
Tachibana Japanese Restaurant,,,,,,,,,,,,0,0
Daikaya Izakaya,,,,,,,,,,,,0,0
Momiji,,,,,,,,,,,,0,0
Nagomi Izakaya,,,,,,,,,,,,0,0
