categories,city,id,name,price,rating,review_count,zip_code
newamerican,Chicago,alinea-chicago,Alinea,$$$$,4.5,1542,60614
newamerican,Chicago,grace-chicago-3,Grace,$$$$,4.5,234,60661
newamerican,Chicago,42-grams-chicago,42 grams,$$$$,4.5,66,60640
newamerican,Chicago,acadia-chicago,Acadia,$$$$,4.0,334,60616
newamerican,Chicago,sixteen-chicago,Sixteen,$$$$,3.5,373,60611
newamerican,Chicago,blackbird-chicago,Blackbird,$$$,4.0,1200,60661
newamerican,Chicago,boka-chicago,Boka,$$$,4.0,931,60614
bars,Chicago,duseks-board-and-beer-chicago-2,Dusek's Board & Beer,$$,4.0,599,60608
newamerican,Chicago,el-ideas-chicago-2,EL Ideas,$$$$,4.5,236,60608
newamerican,Chicago,elizabeth-restaurant-chicago,Elizabeth Restaurant,$$$$,4.5,124,60625
french,Chicago,everest-chicago,Everest,$$$$,4.0,248,60605
newamerican,Chicago,goosefoot-chicago,Goosefoot,$$$$,4.5,219,60625
hotels,Chicago,longman-and-eagle-chicago,Longman & Eagle,$$,4.0,2017,60647
newamerican,Chicago,moto-chicago,Moto,$$$$,4.0,506,60607
newamerican,Chicago,naha-chicago,Naha,$$$$,3.5,613,60654
newamerican,Chicago,north-pond-chicago,North Pond,$$$$,4.0,436,60614
korean,Chicago,parachute-chicago,Parachute,$$$,4.0,307,60618
newamerican,Chicago,schwa-chicago,Schwa,$$$$,4.0,452,60622
newamerican,Chicago,sepia-chicago,Sepia,$$$,4.0,888,60661
italian,Chicago,spiaggia-chicago-4,Spiaggia,$$$$,4.0,410,60611
mexican,Chicago,topolobampo-chicago,Topolobampo,$$$$,3.5,804,60654
newamerican,Chicago,tru-chicago,Tru,$$$$,4.0,586,60611
newamerican,Brooklyn,chefs-table-at-brooklyn-fare-brooklyn-3,Chef's Table at Brooklyn Fare,$$$$,4.5,326,11201
newamerican,New York,eleven-madison-park-new-york,Eleven Madison Park,$$$$,4.5,1553,10010
french,New York,jean-georges-new-york,Jean-Georges,$$$$,4.5,1494,10023
french,New York,le-bernardin-new-york,Le Bernardin,$$$$,4.5,1865,10019
sushi,New York,masa-new-york,Masa,$$$$,4.0,220,10019
french,New York,per-se-new-york,Per Se,$$$$,4.5,1215,10019
scandinavian,New York,aquavit-new-york,Aquavit,$$$$,4.0,568,10022
tradamerican,New York,atera-new-york,Atera,$$$$,4.5,164,10013
newamerican,Brooklyn,blanca-brooklyn,Blanca,$$$$,4.0,119,11206
french,New York,daniel-new-york-4,Daniel,$$$$,4.5,1239,10065
sushi,New York,ichimura-at-brushstroke-new-york,Ichimura At Brushstroke,$$$$,4.5,122,10013
korean,New York,jungsik-new-york,Jungsik,$$$$,4.5,326,10013
italian,New York,marea-new-york,Marea,$$$$,4.0,1394,10019
newamerican,New York,momofuku-ko-new-york-3,Momofuku Ko,$$$$,4.5,133,10003
sushi,New York,soto-new-york,Soto,$$$$,3.5,355,10014
newamerican,New York,the-modern-new-york-3,The Modern,$$$$,4.0,666,10019
italian,New York,ai-fiori-new-york,Ai Fiori,$$$$,4.0,848,10018
portuguese,New York,aldea-new-york,Aldea,$$$,4.0,488,10011
spanish,New York,andanada-new-york-3,Andanada,$$$,3.0,233,10023
newamerican,New York,aureole-new-york,Aureole,$$$$,4.0,649,10036
italian,New York,babbo-new-york,Babbo,$$$$,4.0,1986,10011
