categories,city,id,name,price,rating,review_count
"[{u'alias': u'thai', u'title': u'Thai'}]",Chicago,herb-chicago,Herb,$$$,4.5,123
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'lounges', u'title': u'Lounges'}, {u'alias': u'newamerican', u'title': u'American (New)'}]",Chicago,untitled-supper-club-chicago,Untitled Supper Club,$$$,3.5,714
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'lounges', u'title': u'Lounges'}]",Chicago,gilt-bar-chicago,Gilt Bar,$$$,4.0,1291
"[{u'alias': u'ramen', u'title': u'Ramen'}, {u'alias': u'bars', u'title': u'Bars'}]",Chicago,slurping-turtle-chicago,Slurping Turtle,$$,3.5,1162
"[{u'alias': u'mexican', u'title': u'Mexican'}]",Chicago,frontera-grill-chicago,Frontera Grill,$$$,4.0,1809
"[{u'alias': u'czech', u'title': u'Czech'}, {u'alias': u'german', u'title': u'German'}, {u'alias': u'austrian', u'title': u'Austrian'}]",Chicago,bohemian-house-chicago,Bohemian House,$$$,4.5,535
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'basque', u'title': u'Basque'}, {u'alias': u'mediterranean', u'title': u'Mediterranean'}]",Chicago,avec-chicago,Avec,$$$,4.5,1725
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",Chicago,beatrix-river-north-chicago,Beatrix River North,$$,4.0,1068
"[{u'alias': u'seafood', u'title': u'Seafood'}]",Chicago,gt-fish-and-oyster-chicago,GT Fish & Oyster,$$$,4.0,1214
"[{u'alias': u'tapasmallplates', u'title': u'Tapas/Small Plates'}, {u'alias': u'mediterranean', u'title': u'Mediterranean'}]",Chicago,the-purple-pig-chicago,The Purple Pig,$$,4.0,4654
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'bars', u'title': u'Bars'}, {u'alias': u'diners', u'title': u'Diners'}]",Chicago,au-cheval-chicago,Au Cheval,$$,4.5,3359
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",Chicago,girl-and-the-goat-chicago,Girl & the Goat,$$$,4.5,5708
"[{u'alias': u'sushi', u'title': u'Sushi Bars'}, {u'alias': u'japanese', u'title': u'Japanese'}]",Chicago,sushi-dokku-chicago,Sushi Dokku,$$,4.0,230
"[{u'alias': u'bars', u'title': u'Bars'}, {u'alias': u'french', u'title': u'French'}]",Chicago,maudes-liquor-bar-chicago,Maude's Liquor Bar,$$$,4.0,818
"[{u'alias': u'indpak', u'title': u'Indian'}]",Chicago,jaipur-chicago,Jaipur,$$,3.5,436
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",Chicago,the-publican-chicago,The Publican,$$$,4.0,2540
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}]",Chicago,the-dawson-chicago,The Dawson,$$,4.0,559
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",Chicago,two-chicago,TWO,$$$,4.5,618
"[{u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'bbq', u'title': u'Barbeque'}, {u'alias': u'korean', u'title': u'Korean'}]",Chicago,bellyq-chicago-2,bellyQ,$$$,4.0,622
"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'laotian', u'title': u'Laotian'}, {u'alias': u'vietnamese', u'title': u'Vietnamese'}]",New York,khe-yo-new-york,Khe-Yo,$$$,4.0,413
"[{u'alias': u'dimsum', u'title': u'Dim Sum'}]",New York,dim-sum-go-go-new-york,Dim Sum Go Go,$$,3.5,597
"[{u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'malaysian', u'title': u'Malaysian'}, {u'alias': u'chinese', u'title': u'Chinese'}]",New York,nyonya-new-york,Nyonya,$$,4.0,1472
